City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Ostrovnoy,RU,68.0531,39.5131,19.71,94,100,6.82,light snow
318,Camacupa,AO,-12.0167,17.4833,62.17,91,98,2.35,overcast clouds
319,Nishihara,JP,26.1842,127.7558,67.28,97,90,11.5,light intensity shower rain
320,Crowley,US,30.2141,-92.3746,68.18,41,0,0.65,clear sky
321,Komsomolskiy,UZ,40.4272,71.7189,38.62,69,43,6.91,mist
322,Takab,IR,36.4009,47.1133,27.77,91,85,12.77,overcast clouds
323,Minna,NG,9.6139,6.5569,80.24,22,5,9.17,clear sky
324,Nouadhibou,MR,20.931,-17.0347,66.4,76,0,13.73,clear sky
325,Lovozero,RU,68.005,35.0117,16.0,92,100,9.82,light snow
326,Salo,IT,45.6086,10.531,41.5,80,73,3.78,broken clouds
327,Port-Gentil,GA,-0.7193,8.7815,81.68,80,54,8.97,broken clouds
328,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,78,75,6.71,broken clouds
329,Kaitangata,NZ,-46.2817,169.8464,64.92,38,4,11.68,clear sky
330,Ayagoz,KZ,47.9714,80.4392,10.63,88,30,2.91,scattered clouds
331,Mackenzie,CA,55.2999,-123.1698,14.81,90,100,5.26,overcast clouds
332,Nushki,PK,29.5542,66.0215,60.58,35,100,7.38,overcast clouds
333,Rorvik,NO,64.8621,11.2373,28.51,19,75,3.44,broken clouds
334,Cananeia,BR,-25.0147,-47.9267,75.72,87,98,9.26,moderate rain
335,Urumqi,CN,43.801,87.6005,18.55,79,75,2.24,mist
336,Ankazobe,MG,-18.3167,47.1167,66.61,82,87,4.34,overcast clouds
337,Ossora,RU,59.2353,163.0719,6.42,81,100,4.79,overcast clouds
338,Havelock,US,34.8791,-76.9013,53.58,70,1,1.99,clear sky
339,Hambantota,LK,6.1241,81.1185,75.54,100,74,2.3,broken clouds
340,Vitim,RU,59.4511,112.5578,-24.79,97,100,3.24,overcast clouds
341,Luau,AO,-10.7073,22.2247,64.15,96,100,3.49,overcast clouds
342,Huntington,US,38.4193,-82.4452,38.73,46,1,9.22,clear sky
343,Brewster,US,41.3973,-73.6171,41.79,61,1,5.01,clear sky
344,Tateyama,JP,34.9833,139.8667,44.1,51,99,19.04,overcast clouds
345,Harlingen,US,26.1906,-97.6961,78.35,53,1,12.66,clear sky
